Feature,Value,Contribution
44,4.22E-06,-0.000704292
106,4.08E-06,-0.000945272
117,3.99E-06,5.47E-05
38,3.93E-06,-0.01090559
239,3.76E-06,-0.001045299
205,3.63E-06,0.000206427
361,3.63E-06,-0.000263312
335,3.52E-06,0.000197717
37,3.38E-06,0.001519327
128,3.13E-06,-0.000429577
294,3.10E-06,-0.000513725
371,3.06E-06,-0.000193769
193,2.88E-06,-0.000512391
13,2.75E-06,-0.001173007
40,2.69E-06,-0.001511792
147,2.63E-06,-0.000133866
123,2.52E-06,0.001799346
134,2.37E-06,0.000327485
142,2.37E-06,-0.000323393
178,2.33E-06,0.000536764
375,2.27E-06,0.000618497
94,2.19E-06,0.000720481
18,2.17E-06,8.70E-05
175,2.14E-06,-0.000274997
97,2.11E-06,0.001472505
118,2.11E-06,-0.001370278
169,2.09E-06,-0.000290805
351,1.99E-06,-4.64E-05
275,1.96E-06,0.00083676
215,1.90E-06,0.000224222
159,1.88E-06,-0.001398196
130,1.83E-06,0.002545974
217,1.70E-06,0.000291233
377,1.70E-06,-0.000426514
201,1.68E-06,-0.000107565
19,1.63E-06,0.000233822
126,1.58E-06,0.000196615
11,1.56E-06,-0.000366229
186,1.55E-06,0.000666832
23,1.46E-06,0.000173128
162,1.34E-06,0.000129971
347,1.29E-06,-0.000410589
143,1.23E-06,-0.000122637
120,1.19E-06,-0.001413202
278,1.13E-06,6.17E-05
95,1.01E-06,6.06E-05
334,9.01E-07,-0.000890145
219,8.11E-07,-5.95E-05
6,7.51E-07,-0.000273476
157,7.32E-07,-9.32E-05
227,7.22E-07,0.001447699
218,7.04E-07,-0.000178383
365,6.88E-07,-0.000572289
374,6.66E-07,-0.000318456
182,6.20E-07,0.00076336
104,5.56E-07,-0.000759471
9,5.03E-07,-0.000453352
213,4.94E-07,-0.000179912
129,4.46E-07,0.000549294
277,4.20E-07,-0.000214973
259,3.98E-07,0.001558728
160,3.31E-07,0.000938681
132,3.30E-07,-0.00350317
50,3.26E-07,-5.12E-06
53,3.15E-07,-0.002057558
368,2.21E-07,-0.00041572
15,2.19E-07,9.77E-05
119,2.00E-07,0.000295518
164,1.97E-07,-0.001461463
96,1.64E-07,-0.001259621
68,1.61E-07,0.000816585
131,1.26E-07,0.000342674
102,1.09E-07,0.000247618
220,9.06E-08,0.000183094
7,7.81E-08,0.00107295
214,6.67E-08,0.000114847
211,6.25E-08,0.003168598
212,6.04E-08,-0.00104672
364,4.48E-08,-5.34E-05
122,4.27E-08,0.00055905
